Length (ft),Height (ft),Speed (mph),Inversions,Type_Label_Encoded,Design_Label_Encoded,Status_Label_Encoded,Make_Label_Encoded,Opened_Year,Opened_Month,Opened_Day
455.16666666666663,53.3,25.0,0.0,0,4,1,233,2022,9,1
357.6,34.0,9.2,0.0,0,6,1,244,2015,1,1
600.0,45.333333333333336,27.333333333333336,0.0,1,4,3,256,1909,1,1
264.56666666666666,16.4,21.166666666666668,0.0,0,4,1,186,2023,3,4
596.0333333333333,44.46666666666667,20.5,0.0,0,6,3,28,1990,1,1
721.8,36.1,26.366666666666667,0.0,0,4,1,227,2014,4,12
725.0666666666666,58.9,45.166666666666664,0.0,0,4,1,166,1999,1,1
662.7333333333333,26.5,26.966666666666665,0.0,0,4,1,186,2018,8,3
853.0,42.36666666666666,30.4,0.0,0,4,1,227,2013,3,25
472.3666666666667,17.56666666666667,20.8,0.0,0,4,2,185,2009,1,1
454.9666666666667,23.666666666666657,42.7,0.0,0,4,3,185,2010,1,1
853.0333333333333,113.0,62.0,6.0,0,2,1,30,1999,3,20
635.0,56.0,45.0,1.0,0,4,3,11,1991,1,1
734.7333333333333,150.9,53.5,2.0,0,4,3,184,2007,1,1
630.0,177.2,61.5,3.0,0,2,1,227,2008,7,21
690.1,32.8,31.53333333333333,0.0,0,4,1,109,2021,8,20
708.6666666666667,39.3,31.3,0.0,0,4,1,170,2010,1,1
582.0,32.8,28.0,0.0,0,4,2,109,2019,8,2
367.3666666666667,13.566666666666684,45.36666666666667,0.0,0,4,3,186,2012,1,1
291.33333333333326,55.8,45.36666666666667,0.0,0,4,3,186,2015,12,1
244.89999999999998,18.6,23.200000000000003,0.0,0,4,1,186,2020,1,1
492.1333333333333,22.0,16.133333333333333,0.0,0,4,1,186,2017,4,9
770.4333333333333,42.53333333333333,25.96666666666667,0.0,0,4,1,254,2010,3,27
666.6666666666666,92.0,40.0,0.0,1,4,3,256,1928,5,26
605.8666666666667,24.699999999999996,23.433333333333334,0.0,0,4,1,186,2022,9,1
769.9,41.46666666666667,13.400000000000002,0.0,0,6,1,244,2006,1,1
621.2,42.7,21.43333333333333,0.0,0,2,1,256,2018,1,1
812.5666666666667,55.93333333333334,33.6,0.0,0,4,3,221,1992,1,1
667.1333333333333,42.7,29.1,0.0,0,4,1,244,2015,1,1
652.9,19.700000000000003,19.9,0.0,0,4,1,254,1986,1,1
516.1666666666666,51.400000000000006,34.13333333333333,0.0,0,4,1,233,2015,11,26
571.9666666666667,43.03333333333333,25.93333333333333,0.0,0,4,3,166,2002,1,1
861.8,75.5,44.7,0.0,0,4,5,104,2024,1,1
553.4,67.76666666666667,40.0,0.0,0,4,1,166,2009,1,1
581.8,41.56666666666666,45.0,0.0,0,4,1,24,2017,7,15
698.8,50.8,37.3,0.0,0,4,1,135,2019,7,1
570.0,36.666666666666664,49.833333333333336,0.0,0,4,1,14,1971,1,1
935.0,108.3,53.4,3.0,0,4,1,191,2024,5,11
594.9,23.53333333333333,22.766666666666666,0.0,0,4,1,233,2005,1,1
